model,size,difficulty,n_questions,exact_match,relaxed_em,token_f1,rouge_l,meteor,bertscore_p,bertscore_r,bertscore_f1,num_exact,num_f1,mape,tol1_acc,tol5_acc,tol10_acc,tol_n,abstain_rate,entailment_ratio,evidence_traceability,directional_accuracy,avg_latency_ms,num_errors,regime
llama3.1-8b,Small (8B),easy,15,0.0,0.0,0.0049,0.0048,0.0133,0.8486,0.8219,0.8349,0.2,0.2,,0.0,0.0,0.0,12,0.0,0.0,0.0333,0.0,287.2,0,closed_book
llama3.1-8b,Small (8B),medium,15,0.0,0.0667,0.0553,0.0491,0.0624,0.8547,0.8126,0.833,0.3333,0.3333,0.0,0.0714,0.0714,0.0714,14,0.0,0.0333,0.1786,0.1667,315.7,0,closed_book
llama3.1-8b,Small (8B),hard,15,0.0,0.3333,0.1567,0.0925,0.1255,0.8585,0.8183,0.8375,0.2,0.2037,598.7833,0.0667,0.0667,0.0667,15,0.0,0.0,0.2191,0.5,534.5,0,closed_book
llama3.1-8b,Small (8B),multihop,15,0.0,0.2,0.1148,0.0883,0.1155,0.8548,0.8153,0.8337,0.3333,0.3056,500.0,0.0667,0.0667,0.0667,15,0.0,0.0333,0.1963,0.375,373.6,0,closed_book
llama3.2-3b,Small (3B),easy,15,0.0,0.0,0.0049,0.0048,0.0133,0.8486,0.8219,0.8349,0.2,0.2,,0.0,0.0,0.0,12,0.0,0.0,0.0333,0.0,277.8,0,closed_book
llama3.2-3b,Small (3B),medium,15,0.0,0.0,0.0588,0.0468,0.0875,0.8513,0.8152,0.8323,0.2667,0.2667,117.5491,0.0,0.0,0.0,14,0.0,0.0,0.1995,0.0,427.7,0,closed_book
llama3.2-3b,Small (3B),hard,15,0.0,0.4667,0.1664,0.1035,0.128,0.8572,0.8263,0.8409,0.2,0.3222,364.6597,0.0667,0.0667,0.0667,15,0.0,0.0083,0.2311,0.5,918.4,0,closed_book
llama3.2-3b,Small (3B),multihop,15,0.0,0.2,0.079,0.0574,0.0863,0.8483,0.8098,0.8275,0.2667,0.2667,801.3514,0.0,0.0,0.0,15,0.0,0.0333,0.187,0.375,481.1,0,closed_book
llama3.3-70b,Large (70B),easy,15,0.0,0.0,0.0049,0.0048,0.0133,0.8486,0.8219,0.8349,0.2,0.2,,0.0,0.0,0.0,12,0.0,0.0,0.0333,0.0,5617.5,0,closed_book
llama3.3-70b,Large (70B),medium,15,0.0,0.0667,0.0696,0.0611,0.0617,0.8582,0.8145,0.8357,0.3333,0.3333,0.0,0.0714,0.0714,0.0714,14,0.0,0.0,0.1738,0.1667,1090.5,0,closed_book
llama3.3-70b,Large (70B),hard,15,0.0,0.4667,0.1783,0.1132,0.1397,0.8619,0.8237,0.842,0.2,0.3606,397.1337,0.1333,0.1333,0.1333,15,0.0,0.0,0.2538,0.6429,7318.9,0,closed_book
llama3.3-70b,Large (70B),multihop,15,0.0,0.2,0.0865,0.0732,0.0985,0.8506,0.8113,0.8295,0.3333,0.2889,0.0,0.0667,0.0667,0.0667,15,0.0,0.0333,0.191,0.375,1754.6,0,closed_book
llama4-maverick,Medium (17B MoE),easy,15,0.0,0.0,0.0049,0.0048,0.0015,0.8384,0.8288,0.8333,0.2,0.2,,0.0,0.0,0.0,12,0.0,0.0,0.0333,0.0,458.5,0,closed_book
