model,size_tier,difficulty,n_questions,exact_match,relaxed_em,token_f1,rouge_l,meteor,bertscore_f1,num_exact,num_f1,mape,abstain_rate,entailment_ratio,evidence_traceability,num_errors,regime
llama3.2-3b,Small,easy,15,0.0,0.0,0.0049,0.0048,0.0133,0.8349,0.2,0.2,,0.0,0.0,0.0333,0,closed_book
llama3.2-3b,Small,medium,15,0.0,0.0,0.0588,0.0468,0.0875,0.8323,0.2667,0.2667,117.5491,0.0,0.0,0.1995,0,closed_book
llama3.2-3b,Small,hard,15,0.0,0.4667,0.1664,0.1035,0.128,0.8409,0.2,0.3222,364.6597,0.0,0.0083,0.2311,0,closed_book
llama3.2-3b,Small,multihop,15,0.0,0.2,0.079,0.0574,0.0863,0.8275,0.2667,0.2667,801.3514,0.0,0.0333,0.187,0,closed_book
llama3.1-8b,Small,easy,15,0.0,0.0,0.0049,0.0048,0.0133,0.8349,0.2,0.2,,0.0,0.0,0.0333,0,closed_book
llama3.1-8b,Small,medium,15,0.0,0.0667,0.0553,0.0491,0.0624,0.833,0.3333,0.3333,0.0,0.0,0.0333,0.1786,0,closed_book
llama3.1-8b,Small,hard,15,0.0,0.3333,0.1567,0.0925,0.1255,0.8375,0.2,0.2037,598.7833,0.0,0.0,0.2191,0,closed_book
llama3.1-8b,Small,multihop,15,0.0,0.2,0.1148,0.0883,0.1155,0.8337,0.3333,0.3056,500.0,0.0,0.0333,0.1963,0,closed_book
nemotron-nano-8b,Small,easy,15,0.0,0.0,0.0266,0.0212,0.0516,0.8166,0.2,0.2,651.878,0.0,0.0133,0.4033,0,closed_book
nemotron-nano-8b,Small,medium,15,0.0,0.2,0.1871,0.129,0.2148,0.8473,0.2667,0.2692,407.5614,0.0,0.0,0.237,0,closed_book
nemotron-nano-8b,Small,hard,15,0.0,0.2667,0.2748,0.1688,0.228,0.849,0.3333,0.4259,524.8599,0.0,0.0,0.2643,0,closed_book
nemotron-nano-8b,Small,multihop,15,0.0,0.0667,0.2701,0.1967,0.3074,0.8527,0.4,0.4311,529.6287,0.0,0.0444,0.2499,0,closed_book
phi4-mini,Small,easy,15,0.0,0.0,0.0214,0.0135,0.0389,0.755,0.1333,0.1333,596.4899,0.0667,0.0333,0.3644,1,closed_book
phi4-mini,Small,medium,15,0.0,0.0667,0.2048,0.147,0.2639,0.8465,0.2667,0.2155,337.1152,0.0,0.0092,0.3139,0,closed_book
gpt-oss-20b,Small,easy,15,0.0,0.0667,0.0722,0.0699,0.0665,0.8544,0.2,0.2,33.0481,0.0,0.0333,0.1021,0,closed_book
gpt-oss-20b,Small,medium,15,0.0,0.1333,0.1652,0.1377,0.1379,0.8361,0.2,0.2389,333.4375,0.0,0.1333,0.2013,0,closed_book
gpt-oss-20b,Small,hard,15,0.0,0.2667,0.2374,0.1563,0.2079,0.7378,0.2,0.3185,65.0998,0.0,0.0356,0.2215,2,closed_book
gpt-oss-20b,Small,multihop,15,0.0,0.2,0.231,0.1911,0.1842,0.8006,0.3333,0.3333,75.0,0.0,0.0333,0.2035,1,closed_book
llama4-maverick,Medium,easy,15,0.0,0.0,0.0049,0.0048,0.0015,0.8333,0.2,0.2,,0.0,0.0,0.0333,0,closed_book
llama4-maverick,Medium,medium,15,0.0,0.0,0.1477,0.0993,0.1945,0.8425,0.3333,0.4071,217.0434,0.0,0.0611,0.2816,0,closed_book
llama4-maverick,Medium,hard,15,0.0,0.2667,0.2196,0.1187,0.2024,0.841,0.2667,0.3848,333.5296,0.0667,0.046,0.3113,0,closed_book
llama4-maverick,Medium,multihop,15,0.0,0.2,0.145,0.0914,0.1614,0.8339,0.3333,0.2946,274.6336,0.0,0.0433,0.2072,0,closed_book
gemma4-31b,Medium,easy,15,0.0,0.0,0.019,0.019,0.0208,0.5615,0.2,0.2,,0.0,0.0,0.0333,5,closed_book
gemma4-31b,Medium,medium,15,0.0,0.0667,0.062,0.0532,0.043,0.8306,0.3333,0.3333,0.0,0.0,0.0333,0.1738,0,closed_book
gemma4-31b,Medium,hard,15,0.0,0.4,0.1137,0.0733,0.0908,0.8296,0.1333,0.1492,365.6305,0.0,0.0083,0.2215,0,closed_book
gemma4-31b,Medium,multihop,15,0.0,0.2667,0.0721,0.0632,0.0435,0.8232,0.3333,0.3333,0.0,0.0,0.0,0.1718,0,closed_book
nemotron-super-49b,Medium,easy,15,0.0,0.0,0.0128,0.0079,0.0222,0.809,0.2,0.1524,541.3508,0.0667,0.0226,0.2528,0,closed_book
nemotron-super-49b,Medium,medium,15,0.0,0.0,0.1788,0.1108,0.1911,0.823,0.1333,0.1586,342.604,0.0667,0.0763,0.2891,0,closed_book
nemotron-super-49b,Medium,hard,15,0.0,0.0667,0.2237,0.1157,0.2249,0.8239,0.0667,0.2771,435.7196,0.2,0.0204,0.345,0,closed_book
nemotron-super-49b,Medium,multihop,15,0.0,0.1333,0.2215,0.1328,0.2675,0.8202,0.2667,0.2783,312.0311,0.2,0.0667,0.2921,0,closed_book
mistral-nemotron,Medium,easy,15,0.0,0.0667,0.0143,0.013,0.0279,0.8315,0.2,0.2,,0.0,0.0,0.1017,0,closed_book
mistral-nemotron,Medium,medium,15,0.0,0.0667,0.1314,0.1131,0.1402,0.8465,0.3333,0.3,0.0,0.0,0.0,0.2332,0,closed_book
mistral-nemotron,Medium,hard,15,0.0,0.4,0.1971,0.1189,0.1657,0.8437,0.2667,0.3318,186.0557,0.0,0.0051,0.2581,0,closed_book
mistral-nemotron,Medium,multihop,15,0.0,0.2,0.1565,0.1273,0.1443,0.8428,0.2667,0.2667,,0.0,0.0333,0.202,0,closed_book
llama3.3-70b,Large,easy,15,0.0,0.0,0.0049,0.0048,0.0133,0.8349,0.2,0.2,,0.0,0.0,0.0333,0,closed_book
llama3.3-70b,Large,medium,15,0.0,0.0667,0.0696,0.0611,0.0617,0.8357,0.3333,0.3333,0.0,0.0,0.0,0.1738,0,closed_book
llama3.3-70b,Large,hard,15,0.0,0.4667,0.1783,0.1132,0.1397,0.842,0.2,0.3606,397.1337,0.0,0.0,0.2538,0,closed_book
llama3.3-70b,Large,multihop,15,0.0,0.2,0.0865,0.0732,0.0985,0.8295,0.3333,0.2889,0.0,0.0,0.0333,0.191,0,closed_book
nemotron-120b,Large,easy,15,0.0667,0.0667,0.1275,0.1233,0.0845,0.834,0.2,0.2229,58.543,0.0,0.1422,0.2252,0,closed_book
nemotron-120b,Large,medium,15,0.0,0.1333,0.1397,0.1062,0.1559,0.8469,0.2667,0.2898,271.9429,0.0,0.0689,0.2606,0,closed_book
nemotron-120b,Large,hard,15,0.0,0.4667,0.1624,0.0971,0.1242,0.8341,0.3333,0.3102,49.5743,0.0,0.0105,0.2161,0,closed_book
nemotron-120b,Large,multihop,15,0.0,0.2,0.1343,0.0994,0.1251,0.832,0.2667,0.2488,480.1802,0.0,0.058,0.2211,0,closed_book
gpt-oss-120b,Large,easy,15,0.0,0.0667,0.0969,0.0727,0.0652,0.8411,0.2,0.2,37.1808,0.0,0.0333,0.1502,0,closed_book
gpt-oss-120b,Large,medium,15,0.0,0.2,0.1663,0.1405,0.1473,0.8398,0.2,0.2167,15.2296,0.0,0.075,0.2075,0,closed_book
gpt-oss-120b,Large,hard,15,0.0,0.4,0.2443,0.1631,0.209,0.8438,0.4,0.3051,136.8257,0.0,0.0,0.2491,0,closed_book
