model,size,difficulty,em,relaxed_em,f1,rouge_l,meteor,bertscore,num_em,num_f1,abstain,nli,n,errors
llama3.2-3b,Small,easy,0.0000,0.0000,0.0049,0.0048,0.0133,0.8349,0.2000,0.2000,0.0000,0.0000,15,0
llama3.2-3b,Small,medium,0.0000,0.0000,0.0588,0.0468,0.0875,0.8323,0.2667,0.2667,0.0000,0.0000,15,0
llama3.2-3b,Small,hard,0.0000,0.4667,0.1664,0.1035,0.1280,0.8409,0.2000,0.3222,0.0000,0.0083,15,0
llama3.2-3b,Small,multihop,0.0000,0.2000,0.0790,0.0574,0.0863,0.8275,0.2667,0.2667,0.0000,0.0333,15,0
llama3.1-8b,Small,easy,0.0000,0.0000,0.0049,0.0048,0.0133,0.8349,0.2000,0.2000,0.0000,0.0000,15,0
llama3.1-8b,Small,medium,0.0000,0.0667,0.0553,0.0491,0.0624,0.8330,0.3333,0.3333,0.0000,0.0333,15,0
llama3.1-8b,Small,hard,0.0000,0.3333,0.1567,0.0925,0.1255,0.8375,0.2000,0.2037,0.0000,0.0000,15,0
llama3.1-8b,Small,multihop,0.0000,0.2000,0.1148,0.0883,0.1155,0.8337,0.3333,0.3056,0.0000,0.0333,15,0
nemotron-nano-8b,Small,easy,0.0000,0.0000,0.0266,0.0212,0.0516,0.8166,0.2000,0.2000,0.0000,0.0133,15,0
nemotron-nano-8b,Small,medium,0.0000,0.2000,0.1871,0.1290,0.2148,0.8473,0.2667,0.2692,0.0000,0.0000,15,0
nemotron-nano-8b,Small,hard,0.0000,0.2667,0.2748,0.1688,0.2280,0.8490,0.3333,0.4259,0.0000,0.0000,15,0
nemotron-nano-8b,Small,multihop,0.0000,0.0667,0.2701,0.1967,0.3074,0.8527,0.4000,0.4311,0.0000,0.0444,15,0
phi4-mini,Small,easy,0.0000,0.0000,0.0214,0.0135,0.0389,0.7550,0.1333,0.1333,0.0667,0.0333,15,1
phi4-mini,Small,medium,0.0000,0.0667,0.2048,0.1470,0.2639,0.8465,0.2667,0.2155,0.0000,0.0092,15,0
phi4-mini,Small,hard,-,-,-,-,-,-,-,-,-,-,-,-
