model,difficulty,regime,n,exact_match,relaxed_em,token_f1,rouge_l,bertscore_f1,num_exact,num_f1,mape,tol1_acc,tol5_acc,tol10_acc,entailment_ratio,evidence_traceability,avg_latency_ms
llama3.1-8b,easy,closed_book,9,0.0,0.0,0.0195,0.016,0.832,0.2222,0.2222,548.6982,0.0,0.0,0.0,0.0,1.0,893.2
llama3.1-8b,easy,zero_shot,9,0.5556,0.5556,0.8747,0.8841,0.9605,1.0,1.0,0.0,0.7778,0.7778,0.7778,0.7778,1.0,419.6
llama3.1-8b,hard,closed_book,9,0.0,0.0,0.3158,0.1855,0.8598,0.1111,0.3444,114.5939,0.1111,0.2222,0.2222,0.0062,1.0,2915.3
llama3.1-8b,hard,zero_shot,9,0.0,0.0,0.4112,0.2813,0.8863,0.4444,0.6599,182.8456,0.4444,0.4444,0.4444,0.0,1.0,1608.7
llama3.1-8b,medium,closed_book,9,0.0,0.0,0.1834,0.1165,0.8394,0.1111,0.2444,296.4453,0.0,0.0,0.1111,0.0575,1.0,2728.4
llama3.1-8b,medium,zero_shot,9,0.0,0.0,0.482,0.3816,0.9096,0.7778,0.7778,200.0,0.4444,0.4444,0.4444,0.4028,1.0,1619.9
llama3.1-8b,multihop,closed_book,9,0.0,0.0,0.328,0.22,0.8522,0.2222,0.3104,274.535,0.2222,0.2222,0.2222,0.0641,1.0,2663.3
llama3.1-8b,multihop,zero_shot,9,0.0,0.0,0.6224,0.5129,0.9007,0.6667,0.6366,200.0,0.4444,0.4444,0.4444,0.295,1.0,1554.1
nemotron-nano-8b,easy,closed_book,9,0.0,0.0,0.042,0.037,0.8203,0.2222,0.2222,96.4638,0.0,0.0,0.0,0.0833,1.0,1314.8
nemotron-nano-8b,easy,zero_shot,9,0.0,0.0,0.28,0.2592,0.8693,0.5556,0.6,170.813,0.4444,0.4444,0.4444,0.2037,1.0,1120.0
nemotron-nano-8b,hard,closed_book,9,0.0,0.0,0.2798,0.1687,0.8522,0.3333,0.463,274.9991,0.2222,0.2222,0.2222,0.0,1.0,2931.6
nemotron-nano-8b,hard,zero_shot,9,0.0,0.0,0.3351,0.1873,0.8631,0.4444,0.6942,185.6802,0.3333,0.3333,0.3333,0.0556,1.0,3357.7
nemotron-nano-8b,medium,closed_book,9,0.0,0.0,0.2176,0.1296,0.8487,0.3333,0.3598,405.5291,0.1111,0.1111,0.2222,0.0139,1.0,2130.1
nemotron-nano-8b,medium,zero_shot,9,0.0,0.0,0.3471,0.2243,0.8714,0.5556,0.5185,200.0,0.4444,0.4444,0.4444,0.0634,1.0,2369.7
nemotron-nano-8b,multihop,closed_book,9,0.0,0.0,0.2626,0.1732,0.8468,0.3333,0.3704,287.8245,0.1111,0.1111,0.1111,0.0912,1.0,2134.6
nemotron-nano-8b,multihop,zero_shot,9,0.0,0.0,0.4348,0.3081,0.8701,0.3333,0.5389,185.6909,0.2222,0.2222,0.2222,0.2935,1.0,2662.2
